id,title,authors,editorial,doi,year,volume,issue,article_number,notes
2016_v11i1_10.1007_s11412-016-9230-x_CSCL_towards_the_future_The_second_decade_of_ijCSCL,,,editorial,,,,,,Set from user-provided editorial list (vol/issue/article_number).
2016_v11i2_10.1007_s11412-016-9236-4_CSCL_connecting_the_social_emotional_and_cognitive_dimensions,,,editorial,,,,,,Set from user-provided editorial list (vol/issue/article_number).
2016_v11i3_10.1007_s11412-016-9242-6_Future-looking_conversations_in_CSCL,,Sten Ludvigsen & Ulrike Cress & Nancy Law & Carolyn P. Rose & Gerry Stahl,editorial,,,,,,Set from user-provided editorial list (vol/issue/article_number). | Automated author cleanup (special-character normalization)
2016_v11i4_10.1007_s11412-016-9247-1_Collaboration_scripts_and_scaffolding,,Sten Ludvigsen & Ulrike Cress & Nancy Law & Carolyn P. Rose & Gerry Stahl,editorial,,,,,,Set from user-provided editorial list (vol/issue/article_number). | Automated author cleanup (special-character normalization)
2017_v12i1_10.1007_s11412-017-9253-y_Fostering_targeted_group_practices_as_a_Core_focus_for_CSCL_task_and_technology_design,,,editorial,,,,,,Set from user-provided editorial list (vol/issue/article_number).
2017_v12i2_10.1007_s11412-017-9257-7_Frameworks_for_mass_collaboration_adaptable_scripts_complex_systems_theory_and_collaborati,,,editorial,,,,,,Set from user-provided editorial list (vol/issue/article_number).
2017_v12i3_10.1007_s11412-017-9265-7_Divisive_or_facilitative_The_two_faces_of_technology_in_CSCL,,Carolyn P. Rose & Sten Ludvigsen & Nancy Law & Ulrike Cress & Gerry Stahl,editorial,,,,,,Set from user-provided editorial list (vol/issue/article_number). | Automated author cleanup (special-character normalization)
2017_v12i4_10.1007_s11412-017-9268-4_Future_direction_for_the_CSCL_field_Methodologies_and_eight_controversies,,Sten Ludvigsen & Ulrike Cress & Nancy Law & Gerry Stahl & Carolyn P. Rose,editorial,,,,,,Set from user-provided editorial list (vol/issue/article_number). | Automated author cleanup (special-character normalization)
2018_v13i1_10.1007_s11412-018-9274-1_Multiple_forms_of_regulation_and_coordination_across_levels_in_educational_settings,,Sten Ludvigsen & Ulrike Cress & Nancy Law & Gerry Stahl & Carolyn P. Rose,editorial,,,,,,Set from user-provided editorial list (vol/issue/article_number). | Automated author cleanup (special-character normalization)
2018_v13i2_10.1007_s11412-018-9280-3_Different_technologies_methodologies_and_epistemologiesis_CSCL_a_community_or_communities,,,editorial,,,,,,Set from user-provided editorial list (vol/issue/article_number).
2018_v13i3_10.1007_s11412-018-9284-z_Forming_social_systems_by_coupling_minds_at_different_levels_of_cognition_Design_tools_and,,,editorial,,,,,,Set from user-provided editorial list (vol/issue/article_number).
2018_v13i4_10.1007_s11412-018-9291-0_Developing_understanding_beyond_the_given_knowledge_and_new_methodologies_for_analyses_in_,,Sten Ludvigsen & Ulrike Cress & Carolyn P. Rose & Nancy Law & Gerry Stahl,editorial,,,,,,Set from user-provided editorial list (vol/issue/article_number). | Automated author cleanup (special-character normalization)
2019_v14i1_10.1007_s11412-019-09297-z_Highlighting_tools_and_technologies_for_collaborative_learning,,Carolyn P. Rose & Nancy Law & Ulrike Cress & Sten Ludvigsen,editorial,,,,,,Set from user-provided editorial list (vol/issue/article_number). | Automated author cleanup (special-character normalization)
2019_v14i2_10.1007_s11412-019-09305-2_Investigating_the_complexity_of_computer-supported_collaborative_learning_in_action,,U. Cress & C. P. Rose & N. Law & S. Ludvigsen,editorial,,,,,,Set from user-provided editorial list (vol/issue/article_number). | Automated author cleanup (special-character normalization)
2019_v14i4_10.1007_s11412-019-09311-4_Are_we_together_or_not_The_temporal_interplay_of_monitoring_physiological_arousal_and_phys,,Jonna Malmberg & Eetu Haataja & Tapio Seppanen & Sanna Jarvela,,,,,,,Corrected authors from PDF first-page metadata. | Automated author cleanup (special-character normalization)
2019_v14i4_10.1007_s11412-019-09312-3_Reflections_and_looking_ahead_for_CSCL_digital_infrastructures_digital_tools_and_collabora,,Sten Ludvigsen & Rolf Steier,editorial,,,,,,Set from user-provided editorial list (vol/issue/article_number).
2020_v15i1_10.1007_s11412-020-09319-1_Experiencing_CSCL_from_motivation_to_the_embodied_experience_and_beyond,,Carolyn Rose & Sanna Jarvela & Sten Ludvigsen,editorial,,,,,,Set from user-provided editorial list (vol/issue/article_number). | Automated author cleanup (special-character normalization)
2020_v15i2_10.1007_s11412-020-09322-6_Capturing_the_participation_and_social_dimensions_of_computer-supported_collaborative_lear,,Mohammed Saqr & Olga Viberg & Henriikka Vartiainen,,,,,,,Corrected authors from PDF first-page metadata.
2020_v15i2_10.1007_s11412-020-09324-4_Advocating_for_group_interaction_in_the_age_of_COVID-19,,Sanna Jarvela & Carolyn P. Rose,editorial,,,,,,Set from user-provided editorial list (vol/issue/article_number). | Automated author cleanup (special-character normalization)
2020_v15i3_10.1007_s11412-020-09329-z_Building_community_together_towards_equitable_CSCL_practices_and_processes,,Carolyn P. Rose & Sanna Jarvela,editorial,,,,,,Set from user-provided editorial list (vol/issue/article_number). | Automated author cleanup (special-character normalization)
2020_v15i4_10.1007_s11412-020-09335-1_The_richness_of_CSCL_environments,,Ulrike Cress,editorial,,,,,,Set from user-provided editorial list (vol/issue/article_number).
2021_v16i1_10.1007_s11412-021-09342-w_Exploring_multilayered_collaboration_designs,,Nancy Law & Sanna Jarvela & Carolyn Rose,editorial,,,,,,Set from user-provided editorial list (vol/issue/article_number). | Automated author cleanup (special-character normalization)
2021_v16i2_10.1007_s11412-021-09348-4_Forms_of_collaboration_matters_CSCL_across_the_contexts,,Sanna Jarvela & Carolyn Rose,editorial,,,,,,Set from user-provided editorial list (vol/issue/article_number). | Automated author cleanup (special-character normalization)
2021_v16i3_10.1007_s11412-021-09354-6_Socio-technical_configurations_for_productive_talk,,,editorial,,,,,,Set from user-provided editorial list (vol/issue/article_number).
