volume,issue,year,doi,title,article_url,pdf_url
11,1,2016,10.1007/s11412-015-9224-0,Role taking and knowledge building in a blended university course,https://link.springer.com/article/10.1007/s11412-015-9224-0,https://link.springer.com/content/pdf/10.1007/s11412-015-9224-0.pdf
11,1,2016,10.1007/s11412-016-9228-4,Exploring the relationship between resistance and perspectival understanding in computer-mediated discussions,https://link.springer.com/article/10.1007/s11412-016-9228-4,https://link.springer.com/content/pdf/10.1007/s11412-016-9228-4.pdf
11,1,2016,10.1007/s11412-016-9227-5,Tracing the change in discourse in a collaborative dynamic geometry environment: From visual to more mathematical,https://link.springer.com/article/10.1007/s11412-016-9227-5,https://link.springer.com/content/pdf/10.1007/s11412-016-9227-5.pdf
11,2,2016,10.1007/s11412-016-9232-8,Group emotions: the social and cognitive functions of emotions in argumentation,https://link.springer.com/article/10.1007/s11412-016-9232-8,https://link.springer.com/content/pdf/10.1007/s11412-016-9232-8.pdf
11,2,2016,10.1007/s11412-016-9233-7,Cultural ways of constructing knowledge: the role of identities in online group discussions,https://link.springer.com/article/10.1007/s11412-016-9233-7,https://link.springer.com/content/pdf/10.1007/s11412-016-9233-7.pdf
11,2,2016,10.1007/s11412-016-9234-6,"Quantitative approach to collaborative learning: performance prediction, individual assessment, and group composition",https://link.springer.com/article/10.1007/s11412-016-9234-6,https://link.springer.com/content/pdf/10.1007/s11412-016-9234-6.pdf
11,2,2016,10.1007/s11412-016-9235-5,The symmetry of partner modelling,https://link.springer.com/article/10.1007/s11412-016-9235-5,https://link.springer.com/content/pdf/10.1007/s11412-016-9235-5.pdf
11,3,2016,10.1007/s11412-016-9238-2,Socially shared regulation of learning in CSCL: understanding and prompting individual- and group-level shared regulatory activities,https://link.springer.com/article/10.1007/s11412-016-9238-2,https://link.springer.com/content/pdf/10.1007/s11412-016-9238-2.pdf
11,3,2016,10.1007/s11412-016-9237-3,"You like it, you learn it: affectivity and learning in competitive social role play gaming",https://link.springer.com/article/10.1007/s11412-016-9237-3,https://link.springer.com/content/pdf/10.1007/s11412-016-9237-3.pdf
11,3,2016,10.1007/s11412-016-9240-8,Contribution to a theory of CSCL scripts: taking into account the appropriation of scripts by learners,https://link.springer.com/article/10.1007/s11412-016-9240-8,https://link.springer.com/content/pdf/10.1007/s11412-016-9240-8.pdf
11,3,2016,10.1007/s11412-016-9241-7,Appropriation from a script theory of guidance perspective: a response to Pierre Tchounikine,https://link.springer.com/article/10.1007/s11412-016-9241-7,https://link.springer.com/content/pdf/10.1007/s11412-016-9241-7.pdf
