id,authors,editorial,title
ijCSCL_7_3_5,Mar Perez-Sanagustin & Patricia Santos & Davinia Hernandez-Leo & Josep Blat,,4SPPIces: A case study of factors in a scripted collaborative-learning blended course across spatial locations
2022_v17i2_10.1007_s11412-022-09370-0_A_classification_of_Challenges_encountered_in_Complex_Teamwork_Settings,Maedeh A. Kazemitabar & Susanne P. Lajoie & Tianshu Li,,A classification of Challenges encountered in Complex Teamwork Settings
ijCSCL_3_1_3,Bernhard Nett,,A Community of Practice among tutors enabling student participation in a seminar preparation
ijCSCL_4_1_3,Deborah A. Fields & Yasmin B. Kafai,,A connective ethnography of peer knowledge sharing and diffusion in a tween virtual world
ijCSCL_10_4_0,Gerry Stahl,editorial,A decade of CSCL
ijCSCL_1_1_6,Rupert Wegerif,,A dialogic understanding of the relationship between CSCL and teaching thinking skills
ijCSCL_5_1_1,Daniel D. Suthers & Nathan Dwyer & Richard Medina & Ravi Vatrapu,,"A framework for conceptualizing, representing, and analyzing distributed interaction"
ijCSCL_10_3_1,Michael Hammond,,A Habermasian perspective on joint meaning making online: What does it offer and what are the difficulties?
2019_v14i3_10.1007_s11412-019-09308-z_A_handheld_classroom_dashboard_Teachers_perspectives_on_the_use_of_real-time_collaborative_learning_analytics,Roberto Martinez-Maldonado,,A handheld classroom dashboard: Teachers’ perspectives on the use of real-time collaborative learning analytics
ijCSCL_4_2_5,Kai Hakkarainen,,A knowledge-practice perspective on technology-mediated learning
ijCSCL_7_4_5,Pericles Sobreira & Pierre Tchounikine,,A model for flexibly editing CSCL scripts
2017_v12i1_10.1007_s11412-017-9250-1_A_more_reflective_form_of_joint_problem_solving,Richard Alterman & Kendall Harsch,,A more reflective form of joint problem solving
ijCSCL_6_2_5,Michael A. Evans & Eliot Feenstra & Emily Ryon & David McNeill,,"A multimodal approach to coding discourse: Collaboration, distributed cognition, and geometric reasoning"
ijCSCL_5_2_0,Gerry Stahl & Friedrich Hesse,editorial,A prism of CSCL research
manifest:10.1007/s11412-025-09458-3,,,A quarter century of advances in collaboration sensing: a comprehensive review of high-frequency metrics and their connection to collaborative constructs from 2000 to 2025
2026_v21i1_10.1007_s11412-025-09458-3_A_quarter_century_of_advances_in_collaboration_sensing_a_comprehensive_review_of_high-frequency_metrics_and_their_connec,Bertrand Schneider & Xiao Fang & Shinyi Kang & Pankaj Chejara & Jiajun Bu,,A quarter century of advances in collaboration sensing: a comprehensive review of high‑frequency metrics and their connection to collaborative constructs from 2000 to 2025
ijCSCL_2_1_3,Anne Meier & Hans Spada & Nikol Rummel,,A rating scheme for assessing the quality of computer-supported collaboration processes
ijCSCL_1_1_2,Chris Jones,,"A relational, indirect, meso-level approach to CSCL design in the next decade"
2020_v15i4_10.1007_s11412-020-09336-0_A_review_of_the_International_Handbook_of_Computer-Supported_Collaborative_Learning_2021,Jeremy Roschelle,,A review of the International Handbook of
manifest:10.1007/s11412-020-09336-0,,,A review of the International Handbook of Computer-Supported Collaborative Learning 2021
ijCSCL_3_2_1,Ulrike Cress & Joachim Kimmerle,,A systemic and cognitive view on collaborative knowledge building with wikis
2026_v21i2_10.1007_s11412-025-09464-5_A_temporal_network_approach_to_reveal_the_longitudinal_dynamics_of_CSCL_group_regulation_a,Mohammed Saqr & Sonsoles Lopez-Pernas & Tiina Tormanen,,A temporal network approach to reveal the longitudinal dynamics of CSCL group regulation and productive collaboration
manifest:10.1007/s11412-021-09360-8,,,"A theory-driven reflection on context-aware support for collaborative discussions in light of analytics, affordances, and platforms"
2021_v16i4_10.1007_s11412-021-09360-8_A_theory-driven_reflection_on_context-aware_support_for_collaborative_discussions_in_light,Carolyn Rose & Sanna Jarvela,editorial,"A theory‑driven reflection on context‑aware support for collaborative discussions in light of analytics, affordances, and platforms"
ijCSCL_4_3_3,Jacques Lonchamp,,A three-level analysis of collaborative learning in dual-interaction spaces
2025_v20i4_10.1007_s11412-025-09451-w_Accomplishing_collaboration_at_scale_How_professionals_jointly_frame_problems_on_Stack_Ove,Alena Seredko,,Accomplishing collaboration at scale: How professionals jointly frame problems on Stack Overflow
manifest:10.1007/s11412-025-09446-7,,,Activity-based collaborative virtual reality: Conceptualising immersive virtual reality for collaborative learning
2025_v20i3_10.1007_s11412-025-09446-7_Activity-based_collaborative_virtual_reality_Conceptualising_immersive_virtual_reality_for,Lucas Paulsen & Jacob Davidsen,,Activity‑based collaborative virtual reality: Conceptualising immersive virtual reality for collaborative learning
manifest:10.1007/s11412-022-09363-z,,,Adaptable scaffolding of mathematical argumentation skills: The role of self-regulation when scaffolded with CSCL scripts and heuristic worked examples
2022_v17i1_10.1007_s11412-022-09363-z_Adaptable_scaffolding_of_mathematical_argumentation_skills_The_role_of_self-regulation_whe,Freydis Vogel & Ingo Kollar & Frank Fischer & Kristina Reiss & Stefan Ufer,,Adaptable scaffolding of mathematical argumentation skills: The role of self‑regulation when scaffolded with CSCL scripts and heuristic worked examples
2017_v12i2_10.1007_s11412-017-9254-x_Adaptable_scripting_to_foster_regulation_processes_and_skills_in_computer-supported_collaborative_learning,Ingo Kollar & Karsten Stegmann & Xinghua Wang,,Adaptable scripting to foster regulation processes and skills in
manifest:10.1007/s11412-017-9254-x,,,Adaptable scripting to foster regulation processes and skills in computer-supported collaborative learning
2026_v21i2_10.1007_s11412-025-09463-6_Advancing_collaborative_discourse_through_knowledge_synthesis,Xinran Zhu & Bodong Chen & David DeLiema,,Advancing collaborative discourse through knowledge synthesis
ijCSCL_10_4_1,Bodong Chen & Marlene Scardamalia & Carl Bereiter,,Advancing knowledge‐building discourse through judgments of promising ideas
ijCSCL_8_3_3,Meng Yew Tee & Shuh Shing Lee,,Advancing understanding using Nonaka’s model of knowledge creation and problem-based learning
2020_v15i2_10.1007_s11412-020-09324-4_Advocating_for_group_interaction_in_the_age_of_COVID-19,Sanna Jarvela & Carolyn P. Rose,editorial,Advocating for group interaction in the age of COVID-19
ijCSCL_4_2_2,Nina Bonderup Dohn,,Affordances revisited: Articulating a Merleau-Pontian view
2021_v16i1_10.1007_s11412-021-09341-x_Affording_embodied_cognition_through_touchscreen_and_above-the-surface_gestures_during_collaborative_tabletop_science_le,Nikita Soni,,Affording embodied cognition through touchscreen and above-the-surface gestures during collaborative tabletop science learning
manifest:10.1007/s11412-025-09456-5,,,Age-related differences in explanatory activities during collaborative learning with concept maps: experimental investigation using epistemic network analysis
manifest:10.1007/s11412-021-09353-7,,,Agency to transform: how did a grade 5 community co-configure dynamic knowledge building practices in a yearlong science inquiry?
2021_v16i3_10.1007_s11412-021-09353-7_Agency_to_transform_how_did_a_grade_5_community_co-configure_dynamic_knowledge_building_practices_in_a_yearlong_science_,Dan Tao & Jianwei Zhang,,Agency to transform: how did a grade 5 community co‑configure dynamic knowledge building practices in a yearlong science inquiry?
ijCSCL_6_3_3,Hao-Chuan Wang & Carolyn P. Rose & Chun-Yen Chang,,Agent-based dynamic support for learning from collaborative brainstorming in scientific inquiry
2025_v20i4_10.1007_s11412-025-09456-5_Age-related_differences_in_explanatory_activities_during_collaborative_learning_with_conce,Shigen Shimojo & Yugo Hayashi,,Age‑related differences in explanatory activities during collaborative learning with concept maps: experimental investigation using epistemic network analysis
2017_v12i2_10.1007_s11412-017-9258-6_All_in_good_time_knowledge_introduction_restructuring_and_development_of_shared_opinions_as_different_stages_in_collabor,Johannes Moskaliuk & Ulrike Cress,,"All in good time: knowledge introduction, restructuring, and development of shared opinions as different stages in collaborative writing"
ijCSCL_3_4_4,Fengfeng Ke,,Alternative goal structures for computer game-based learning
ijCSCL_10_4_4,Matthew Berland & Don Davis & Carmen Petrick Smith,,AMOEBA: Designing for collaboration in computer science classrooms through live learning analytics
2023_v18i1_10.1007_s11412-023-09387-z_An_artificial_intelligence-driven_learning_analytics_method_to_examine_the_collaborative_p,Fan Ouyang & Weiqi Xu & Mutlu Cukurova,,An artificial intelligence-driven learning analytics method to examine the collaborative problem-solving process from the complex adaptive systems perspective
2023_v18i1_10.1007_s11412-023-09386-0_An_automated_group_learning_engagement_analysis_and_feedback_approach_to_promoting_collaborative_knowledge_building_grou,Lanqin Zheng & Miaolang Long & Jiayu Niu & Lu Zhong,,"An automated group learning engagement analysis and feedback approach to promoting collaborative knowledge building, group performance, and socially shared regulation in CSCL"
ijCSCL_9_3_3,Heisawn Jeong & Cindy E. Hmelo-Silver & Yawen Yu,,An examination of CSCL methodological practices and the influence of theoretical frameworks 2005–2009
