volume,issue,article_number,title,authors
1,1,0,ijCSCL—a journal for research in CSCL,Gerry Stahl & Friedrich Hesse
1,2,0,Building knowledge in the classroom,Gerry Stahl & Friedrich Hesse
1,3,0,EDITORIAL Focusing on participation in group meaning making,Gerry Stahl & Friedrich Hesse
1,3,1,Technology affordances for intersubjective meaning making: A research agenda for CSCL,Daniel D. Suthers
1,3,4,Studying participation networks in collaboration using mixed methods,Alejandra Martínez & Yannis Dimitriadis & Eduardo Gómez-Sánchez & Bartolomé Rubia-Avi & Iván Jorrín-Abellán & Jose A. Marcos
3,3,5,Supporting students' participation in authentic proof activities in computer supported collaborative learning (CSCL) environments,Diler Öner
3,3,6,Book review: Exploring thinking as communicating in CSCL,Gerry Stahl
4,3,2,Distinguishing knowledge-sharing knowledge-construction and knowledge-creation discourses,Jan van Aalst
5,2,2,Animation and grammar in science education: Learners' construal of animated educational software,Göran Karlsson
6,1,4,Exploring e-learners' perceptions of net-based peer-reviewed English writing,Zi-gang Ge
6,2,1,Bridging research and practice: Implementing and sustaining knowledge building in Hong Kong classrooms,Carol K. K. Chan
6,2,3,An information processing perspective on divergence and convergence in collaborative learning,Robert L. Jorczak
7,1,0,Ethnomethodologically informed,Gerry Stahl
8,2,1,Participation and common knowledge in a case study of student blogging,Richard Alterman & Johann Ari Larusson
9,3,1,The multi-layered nature of small-group learning: Productive interactions in object-oriented collaboration,Crina I. Damşa
10,2,4,An integrated way of using a tangible user interface in a classroom,Sébastien Cuendet & Jessica Dehler-Zufferey & Giulia Ortoleva & Pierre Dillenbourg
10,3,1,A Habermasian perspective on joint meaning making online: What does it offer and what are the difficulties?,Michael Hammond
