volume,issue,article_number,title,authors,category,summary_ollama,summary_haiku
1,1,0,ijCSCL—a journal for research in CSCL,Gerry Stahl & Friedrich Hesse,e,,"The International Journal of Computer-Supported Collaborative Learning (ijCSCL) was established to advance the maturing CSCL field by providing a peer-reviewed publication venue for an increasingly global research community. The journal aims to foster interdisciplinary collaboration, develop CSCL-specific theories and methodologies, and disseminate high-quality research through open-access online platforms alongside traditional publication formats."
1,1,1,"The CSCL community in its ﬁrst decade: development, continuity, connectivity",Andrea Kienle & Martin Wessner,f,,"The CSCL community's first decade (1995–2005) demonstrates growth and increasing internationalization despite low individual continuity. Using quantitative analysis of conference proceedings, participant lists, and program committees combined with qualitative surveys, researchers found that while 79% of authors contributed to only one conference, international connectivity grew substantially through citations and co-authorships across countries, with conference location rotation and diverse program committee composition supporting this development."
1,1,2,"A relational, indirect, meso-level approach to CSCL design in the next decade",Chris Jones & Lone Dirckinck<Holmfeld & Berner Lindstro¨m,a,,"This theoretical paper proposes a relational approach to CSCL design, arguing that technology, affordances, and infrastructure should be understood as emerging through relationships rather than as fixed properties. Drawing on two European research networks, the authors advocate for meso-level analysis bridging micro-group and macro-institutional processes, and recommend indirect design strategies that acknowledge contingency in how learners enact technological affordances within networked learning environments."
1,1,3,Students assessing their own collaborative knowledge building,Eddy Y.C. Lee & Carol K.K. Chan & Jan van Aalst,d,,"This study examined how electronic portfolio assessments guided by knowledge-building principles support collaborative inquiry in computer forums. Using a quasi-experimental design with 119 ninth-grade students across three Knowledge Forum conditions, researchers found that students receiving portfolios with knowledge-building principles demonstrated deeper inquiry, more high-level questions, and superior conceptual understanding compared to peers using forums alone or portfolios without principles. Portfolio scores predicted essay performance beyond individual participation metrics, suggesting portfolios effectively capture distributed, progressive knowledge advancement."
1,1,4,Situating CoWeb: a scholarship of application,Jochen Rick & Mark Guzdial,b,,"Researchers developed CoWeb, a wiki-based platform for collaborative learning, and deployed it across diverse academic contexts at Georgia Tech. Through design-based research, they found that collaborative learning success depends critically on cultural compatibility: CoWeb succeeded in architecture and composition where collaboration aligned with disciplinary values, but failed in STEM courses due to competitive cultures. By redesigning an introductory computing course around collaborative principles, they overcame these barriers, demonstrating that culture can be intentionally shaped to support technology adoption."
1,1,5,R-U-Typing-2-Me? Evolving a chat tool to increase understanding in learning activities,Hugo Fuks & Mariano Pimentel & Carlos Jose´ Pereira de Lucena,b,,"This research investigates ""Chat Confusion""—difficulties following conversations when multiple participants communicate simultaneously in chat tools used for educational debates. Through iterative design-based development, researchers identified six key problems: co-text loss, dynamics interruption, message overload, lack-of-visibility-of-turn-in-progress, reading difficulties, and decontextualization. Successive Mediated Chat versions implemented targeted solutions including message threading, structured conversation techniques, publication queues, interface improvements, and session history. Case studies demonstrated that combining structured dynamics with interface enhancements effectively reduced confusion and improved understanding in online learning activities."
1,1,6,A dialogic understanding of the relationship between CSCL and teaching thinking skills,Rupert Wegerif,c,,"# Summary Wegerif argues that dialogue itself constitutes the primary thinking skill underlying creativity and learning-to-learn. Through literature review and case studies using Raven's reasoning tests, he demonstrates that teaching dialogue as an end in itself—rather than as a tool for knowledge construction—promotes general thinking skills. He proposes a dialogic interpretative framework for CSCL that emphasizes opening, deepening, and broadening reflective spaces through technology-supported dialogue."
1,2,0,"Building knowledge in the classroom, building knowledge in the CSCL community",Gerry Stahl & Friedrich Hesse,e,,"This editorial introduces the International Journal of Computer-Supported Collaborative Learning's second issue, presenting six articles addressing knowledge building in classrooms through collaborative learning with digital tools. The collection spans international research examining institutional context, design principles, narrative analysis, activity structures, and synchronous communication frameworks, demonstrating how pedagogy, technology, content, and theory must develop together in CSCL research."
1,2,1,Approaching institutional contexts: Systemic versus dialogic research in CSCL,Hans Christian Arnseth & Sten Ludvigsen,f,,"# Summary This article distinguishes between systemic and dialogic research approaches in CSCL to address how institutional contexts shape tool meanings and functions. Systemic approaches identify variable correlations affecting collaboration and outcomes, while dialogic approaches examine how meanings emerge through social interaction. The authors argue that dialogic analysis of sequential activities reveals why CSCL applications often fail in ordinary classrooms, demonstrating that understanding institutional practice transformation requires attention to how participants actively constitute contexts through their actions."
1,2,2,Collaborative knowledge building using the Design Principles Database,Yael Kali,b,,"The Design Principles Database (DPD) supports collaborative knowledge building among educational technology researchers through a structured system of interconnected design features and principles at multiple abstraction levels. Using design-based research methodology across three iterations of a peer-evaluation activity, the study demonstrates how researchers extract principles from literature, test them in practice, and contribute refined knowledge back to the community database, exemplifying second-order collaborative learning environments."
1,2,3,Co-reﬂection in online learning: Collaborative critical thinking as narrative,Joyce Yukawa,c,,"This study examined two graduate students' learning in an online action research course using narrative analysis. The research identifies co-reflection—a collaborative critical thinking process combining cognitive and affective interactions with relationship building—as central to knowledge co-construction. Two co-reflection types emerged: tacit (indirect, subtle) and active (explicit, discursive). Simple, flexible software tools effectively supported inquiry learning by accommodating diverse communication and learning styles."
1,2,4,Knowledge-building activity structures in Japanese elementary science pedagogy,Jun Oshima & Ritsuko Oshima & Isao Murayama & Shigenori Inagaki & Makiko Takenaka & Tomokazu Yamamoto & Etsuji Yamaguchi & Hayashi Nakayama,a,,"# Summary This design study examined how to transform Japanese elementary science classrooms into knowledge-building communities by integrating traditional activity structures with CSCL technology. Across two consecutive years, researchers refined lesson designs using Knowledge Forum to support idea-centered, collaborative inquiry. Results showed that improving task authenticity and participatory structures—particularly blending online and offline communication—significantly enhanced students' collective knowledge advancement and engagement with conceptual artifacts compared to initial implementations."
1,2,5,"Supporting synchronous collaborative learning: A generic, multi-dimensional model",Jacques Lonchamp,b,,"Lonchamp proposes Omega+, a multi-dimensional model-based generic synchronous collaborative learning environment addressing limited applicability of existing CSCL systems. The system uses separate explicit models for collaborative situations, interactions, processes, and performance monitoring, enabling flexible combinations of scaffolding techniques. Evaluation occurs through functional equivalence demonstrations and a dedicated web platform supporting real-world usage analysis and teacher customization."
1,2,6,ERRATUM Students assessing their own collaborative knowledge building,Eddy Y.C. Lee & Carol K.K. Chan & Jan van Aalst,c,,"This study examined how knowledge-building portfolios and principles scaffold collaborative inquiry in computer forums. Using a quasi-experimental design with 119 ninth-grade students across three Knowledge Forum conditions, researchers found that students guided by knowledge-building principles demonstrated deeper inquiry, more high-level questions, and superior conceptual understanding compared to peers using forums alone or with portfolios only. Portfolio scores predicted domain understanding beyond individual participation measures, suggesting portfolios effectively characterize and foster collective knowledge advances."
1,3,0,EDITORIAL Focusing on participation in group meaning making,Gerry Stahl & Friedrich Hesse,e,,"This editorial proposes intersubjective meaning making as a unifying theoretical focus for CSCL research, arguing it better captures collaborative learning phenomena than traditional frameworks. The issue presents four articles exemplifying this approach: anchored discussion using quantitative analysis, networked handhelds supporting group interaction, and social network analysis combined with qualitative methods to examine student participation processes."
1,3,1,Technology affordances for intersubjective meaning making: A research agenda for CSCL Daniel D. Suthers,making: A research agenda for CSCL Daniel D. Suthers,b,,"Suthers proposes intersubjective meaning making—how groups jointly compose interpretations of dynamically evolving contexts—as CSCL's integrating research agenda. Through conceptual analysis, he argues that technology should be designed as fundamentally social to afford such meaning-making processes. He advocates hybrid methodologies combining experimental, descriptive, and design approaches, with ""uptake"" relations serving as a boundary object enabling dialogue across theoretical traditions."
