volume,category
1,e
1,e
1,a
1,d
1,e
1,b
1,c
1,e
1,e
1,b
1,c
1,a
1,b
1,e
1,e
1,b
1,c
1,c
1,c
1,e
1,c
1,b
1,c
1,a
2,e
2,e
2,e
2,d
2,c
2,c
2,e
2,c
2,b
2,c
2,a
2,b
2,b
2,c
2,a
2,c
2,e
2,a
2,b
2,a
2,c
2,c
3,e
3,b
3,c
3,c
3,e
3,c
3,e
3,b
3,b
3,c
3,c
3,c
3,e
3,c
3,b
3,c
3,c
3,a
3,e
3,e
3,b
3,c
3,b
3,b
3,c
4,e
4,e
4,c
4,c
4,c
4,c
4,e
4,c
4,e
4,c
4,c
4,b
4,e
4,c
4,c
4,c
4,b
4,e
4,e
4,a
4,b
4,c
4,a
5,e
5,c
5,e
5,c
5,c
5,e
5,b
5,b
5,b
5,c
5,c
5,e
5,c
5,b
5,b
5,a
5,c
5,e
5,b
5,c
5,c
5,c
6,e
6,e
6,c
6,c
6,c
6,b
6,c
6,e
6,e
6,c
6,c
6,b
6,c
6,b
6,c
6,e
6,b
6,c
6,b
6,b
6,a
6,c
6,c
6,e
6,b
6,b
6,c
6,c
6,c
6,b
6,b
7,e
7,c
7,c
7,c
7,c
7,c
7,c
7,c
7,e
7,b
7,c
7,c
7,b
7,c
7,b
7,e
7,b
7,b
7,c
7,c
7,c
7,e
7,c
7,b
7,b
7,c
7,a
8,e
8,c
8,c
8,c
8,c
8,c
8,e
8,c
8,a
8,b
8,d
8,e
8,b
8,c
8,c
8,c
8,c
8,e
8,c
8,c
8,b
8,c
9,e
9,c
9,c
9,c
9,e
9,c
9,c
9,c
9,c
9,e
9,c
9,b
9,c
9,c
9,c
9,c
9,c
9,c
9,c
10,e
10,b
10,c
10,c
10,c
10,e
10,c
10,c
10,a
10,c
10,e
10,c
10,b
10,c
10,c
10,e
10,c
10,c
10,b
10,a
