id,year,volume,issue,article_number,editor_era,is_editorial,title,authors,category,cluster_haiku_summary,summary_haiku,methodology_primary,methodology_secondary,unit_of_analysis_primary,unit_of_analysis_secondary,pedagogy_primary,pedagogy_secondary,technology_primary,technology_secondary,theory_primary,theory_secondary,ai_llm_involvement_primary,ai_llm_involvement_secondary,evidence_span,coding_confidence,extends_methodology,extends_pedagogy,extends_technology,extends_theory,coding_notes
ijCSCL_1_1_1,2006,1,1,1,stahl_hesse_2006_2015,no,"The CSCL community in its ﬁrst decade: development, continuity, connectivity",Andrea Kienle & Martin Wessner,f,11,"The CSCL community's first decade (1995–2005) demonstrates growth and increasing internationalization despite low individual continuity. Using quantitative analysis of conference proceedings, participant lists, and program committees combined with qualitative surveys, researchers found that while 79% of authors contributed to only one conference, international connectivity grew substantially through citations and co-authorships across countries, with conference location rotation and diverse program committee composition supporting this development.",,,,,,,,,,,,,,,,,,,
ijCSCL_1_1_2,2006,1,1,2,stahl_hesse_2006_2015,no,"A relational, indirect, meso-level approach to CSCL design in the next decade",Chris Jones & Lone Dirckinck<Holmfeld & Berner Lindstro¨m,a,3,"This theoretical paper proposes a relational approach to CSCL design, arguing that technology, affordances, and infrastructure should be understood as emerging through relationships rather than as fixed properties. Drawing on two European research networks, the authors advocate for meso-level analysis bridging micro-group and macro-institutional processes, and recommend indirect design strategies that acknowledge contingency in how learners enact technological affordances within networked learning environments.",,,,,,,,,,,,,,,,,,,
ijCSCL_1_1_3,2006,1,1,3,stahl_hesse_2006_2015,no,Students assessing their own collaborative knowledge building,Eddy Y.C. Lee & Carol K.K. Chan & Jan van Aalst,d,16,"This study examined how electronic portfolio assessments guided by knowledge-building principles support collaborative inquiry in computer forums. Using a quasi-experimental design with 119 ninth-grade students across three Knowledge Forum conditions, researchers found that students receiving portfolios with knowledge-building principles demonstrated deeper inquiry, more high-level questions, and superior conceptual understanding compared to peers using forums alone or portfolios without principles. Portfolio scores predicted essay performance beyond individual participation metrics, suggesting portfolios effectively capture distributed, progressive knowledge advancement.",,,,,,,,,,,,,,,,,,,
ijCSCL_1_1_4,2006,1,1,4,stahl_hesse_2006_2015,no,Situating CoWeb: a scholarship of application,Jochen Rick & Mark Guzdial,b,12,"Researchers developed CoWeb, a wiki-based platform for collaborative learning, and deployed it across diverse academic contexts at Georgia Tech. Through design-based research, they found that collaborative learning success depends critically on cultural compatibility: CoWeb succeeded in architecture and composition where collaboration aligned with disciplinary values, but failed in STEM courses due to competitive cultures. By redesigning an introductory computing course around collaborative principles, they overcame these barriers, demonstrating that culture can be intentionally shaped to support technology adoption.",,,,,,,,,,,,,,,,,,,
ijCSCL_1_1_5,2006,1,1,5,stahl_hesse_2006_2015,no,R-U-Typing-2-Me? Evolving a chat tool to increase understanding in learning activities,Hugo Fuks & Mariano Pimentel & Carlos Jose´ Pereira de Lucena,b,2,"This research investigates ""Chat Confusion""—difficulties following conversations when multiple participants communicate simultaneously in chat tools used for educational debates. Through iterative design-based development, researchers identified six key problems: co-text loss, dynamics interruption, message overload, lack-of-visibility-of-turn-in-progress, reading difficulties, and decontextualization. Successive Mediated Chat versions implemented targeted solutions including message threading, structured conversation techniques, publication queues, interface improvements, and session history. Case studies demonstrated that combining structured dynamics with interface enhancements effectively reduced confusion and improved understanding in online learning activities.",,,,,,,,,,,,,,,,,,,
ijCSCL_1_1_6,2006,1,1,6,stahl_hesse_2006_2015,no,A dialogic understanding of the relationship between CSCL and teaching thinking skills,Rupert Wegerif,c,2,"# Summary Wegerif argues that dialogue itself constitutes the primary thinking skill underlying creativity and learning-to-learn. Through literature review and case studies using Raven's reasoning tests, he demonstrates that teaching dialogue as an end in itself—rather than as a tool for knowledge construction—promotes general thinking skills. He proposes a dialogic interpretative framework for CSCL that emphasizes opening, deepening, and broadening reflective spaces through technology-supported dialogue.",,,,,,,,,,,,,,,,,,,
ijCSCL_1_2_1,2006,1,2,1,stahl_hesse_2006_2015,no,Approaching institutional contexts: Systemic versus dialogic research in CSCL,Hans Christian Arnseth & Sten Ludvigsen,f,2,"# Summary This article distinguishes between systemic and dialogic research approaches in CSCL to address how institutional contexts shape tool meanings and functions. Systemic approaches identify variable correlations affecting collaboration and outcomes, while dialogic approaches examine how meanings emerge through social interaction. The authors argue that dialogic analysis of sequential activities reveals why CSCL applications often fail in ordinary classrooms, demonstrating that understanding institutional practice transformation requires attention to how participants actively constitute contexts through their actions.",,,,,,,,,,,,,,,,,,,
ijCSCL_1_2_2,2006,1,2,2,stahl_hesse_2006_2015,no,Collaborative knowledge building using the Design Principles Database,Yael Kali,b,3,"The Design Principles Database (DPD) supports collaborative knowledge building among educational technology researchers through a structured system of interconnected design features and principles at multiple abstraction levels. Using design-based research methodology across three iterations of a peer-evaluation activity, the study demonstrates how researchers extract principles from literature, test them in practice, and contribute refined knowledge back to the community database, exemplifying second-order collaborative learning environments.",,,,,,,,,,,,,,,,,,,
ijCSCL_1_2_3,2006,1,2,3,stahl_hesse_2006_2015,no,Co-reﬂection in online learning: Collaborative critical thinking as narrative,Joyce Yukawa,c,2,"This study examined two graduate students' learning in an online action research course using narrative analysis. The research identifies co-reflection—a collaborative critical thinking process combining cognitive and affective interactions with relationship building—as central to knowledge co-construction. Two co-reflection types emerged: tacit (indirect, subtle) and active (explicit, discursive). Simple, flexible software tools effectively supported inquiry learning by accommodating diverse communication and learning styles.",,,,,,,,,,,,,,,,,,,
ijCSCL_1_2_4,2006,1,2,4,stahl_hesse_2006_2015,no,Knowledge-building activity structures in Japanese elementary science pedagogy,Jun Oshima & Ritsuko Oshima & Isao Murayama & Shigenori Inagaki & Makiko Takenaka & Tomokazu Yamamoto & Etsuji Yamaguchi & Hayashi Nakayama,a,16,"# Summary This design study examined how to transform Japanese elementary science classrooms into knowledge-building communities by integrating traditional activity structures with CSCL technology. Across two consecutive years, researchers refined lesson designs using Knowledge Forum to support idea-centered, collaborative inquiry. Results showed that improving task authenticity and participatory structures—particularly blending online and offline communication—significantly enhanced students' collective knowledge advancement and engagement with conceptual artifacts compared to initial implementations.",,,,,,,,,,,,,,,,,,,
